Country ,Year,co2_data
RUS,2020,2061109.859
RUS,2019,2136517.947
RUS,2018,2145241.38
RUS,2017,2082644.323
RUS,2016,2033968.362
RUS,2015,2033334.963
RUS,2014,2037643.314
RUS,2013,2041805.207
RUS,2012,2100946.519
RUS,2011,2076058.193
RUS,2010,2019393.43
RUS,2009,1925038.18
RUS,2008,2059490.289
RUS,2007,2030122.263
RUS,2006,2030163.084
RUS,2005,1970602.687
RUS,2004,1952617.157
RUS,2003,1940117.8
RUS,2002,1908501.866
RUS,2001,1928619.954
RUS,2000,1895001.384
RUS,1999,1900503.716
RUS,1998,1870018.31
RUS,1997,1901804.206
RUS,1996,2019459.809
RUS,1995,2070711.487
RUS,1994,2122812.403
RUS,1993,2385612.003
RUS,1992,2524618.045
RUS,1991,3005319.396
RUS,1990,3166579.051
USA,2020,6025973.613
USA,2019,6617916.876
USA,2018,6754831.648
USA,2017,6561824.44
USA,2016,6578432.362
USA,2015,6737358.644
USA,2014,6898525.596
USA,2013,6841661.093
USA,2012,6670533.532
USA,2011,6907203.236
USA,2010,7058197.908
USA,2009,6840741.542
USA,2008,7294541.719
USA,2007,7511447.958
USA,2006,7407921.495
USA,2005,7477358.361
USA,2004,7464364.918
USA,2003,7352702.361
USA,2002,7293277.737
USA,2001,7253522.308
USA,2000,7369162.972
USA,1999,7169885.428
USA,1998,7124684.268
USA,1997,7079206.863
USA,1996,7023529.629
USA,1995,6821933.718
USA,1994,6745166.791
USA,1993,6639525.505
USA,1992,6534880.127
USA,1991,6418406.19
USA,1990,6487330.948
